,用户id,用户姓名,发表日期,国家,省份,市区,说说内容,积极情感分数,消极情感分数,积极情感均值,消极情感均值,积极情感方差,消极情感方差
9100,2088661600,娜姐,2017-03-09,中国,河南,信阳,不知从何说起感觉神经被麻木了可又有很多话想讲我不知道自己这样做对不对我想感情没有谁对谁错说不好都是虚假的只有真感情才没有这种说辞但我看不到每个人心里在想什么你又看不出来对你是真是假用心没用心当事人一定很清楚吧也许平时看不出来情义只是在一起玩闹疯可是当冷静下来的时候你又在想什么心里到底装着谁对谁有所偏见有所抵触对谁有所喜欢有所关心别人都不了解只是自己的心思罢了你给我带来的快乐我都记在心里毕竟咋们曾经美好过可是现在呢美好的东西都去哪了快乐呢被伤心取代了在一起呢被别人占据了都说了要理解你可谁来理解我呢都说了在乎你可你在乎过我吗口口声声说的在乎都是骗人的不是说了就可以顺人心的安慰人的你必须说到做到可是你没有诚意没有行动没有打心底的想要付出又怎能得来回报呢别怪我这样回报你朋友多么亲切的人啊除了最爱的人就是你们了也是一生中的伴侣有东西一起分享有困难一起克服有事情一起承担快乐伴你我可是我们却很糟糕搞得不像个样彼此像个陌生人见面都不会打招呼我好害怕这样的我们,2703.0,3516.0,9.8,12.8,9.8,6.4
9101,2088661600,娜姐,2017-03-05,中国,河南,信阳,落叶有情,0.0,0.0,0.0,0.0,0.0,0.0
9102,2088661600,娜姐,2017-03-03,中国,河南,信阳,大幂幂,0.0,0.0,0.0,0.0,0.0,0.0
9103,2088661600,娜姐,2017-03-02,中国,河南,信阳,抱着盆栽的女孩有了爱情,1.0,0.0,0.1,0.0,0.3,0.0
9104,2088661600,娜姐,2017-02-28,中国,河南,信阳,难道一直在自欺欺人她本来就这样何必因为要适应自己才让别人有所改变也许她就是她永远都不变她都不在乎我何必较真呢就这样顺其变见个面就像陌生人一样这大概就是不在乎了吧,36.0,122.0,0.8,2.6,0.4,1.6
9105,2088661600,娜姐,2017-02-28,中国,河南,信阳,漂亮的新家,3.0,0.0,1.0,0.0,0.0,0.0
9106,2088661600,娜姐,2017-02-27,中国,河南,信阳,他是个职业杀手同时也是她的爱人,1.0,0.0,0.1,0.0,0.3,0.0
9107,2088661600,娜姐,2017-02-27,中国,河南,信阳,我愿意付出而你去不把它当回事那我输了我不想你怎么讨好我我都不会看在眼里我不敢改变这些我在一点一点适应着一切如果任何一点风吹草动都可以左右咋们前进的路那何来的情义一起的梦都是假的所有的都不算数今天见你一面十年之后再见一面有什么区别只是十年没见而已当时会不会开心的落泪会不会激动的话都讲不出来还是像路人一样擦肩而过散慢的心到底在想什么是否有我的一席之地我真的好害怕如果对我都没有时间陪的话那要我还有什么用对不起是我输了,211.0,378.0,1.6,2.9,0.8,3.1
9108,2088661600,娜姐,2017-02-24,中国,河南,信阳,谢谢上帝,2.0,0.0,1.0,0.0,0.0,0.0
9109,2088661600,娜姐,2017-02-23,中国,河南,信阳,它的尸体,0.0,1.0,0.0,0.3,0.0,0.5
9110,2088661600,娜姐,2017-02-23,中国,河南,信阳,心碎,0.0,1.0,0.0,1.0,0.0,0.0
9111,2088661600,娜姐,2017-02-23,中国,河南,信阳,挺有意思的,0.0,0.0,0.0,0.0,0.0,0.0
9112,2088661600,娜姐,2017-02-21,中国,河南,信阳,希望上天保佑我俩,4.0,0.0,1.0,0.0,0.0,0.0
9113,2088661600,娜姐,2017-02-19,中国,河南,信阳,书签之恋,0.0,0.0,0.0,0.0,0.0,0.0
